,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
308,0.4,0.1,0.9,46.54,99.34,48.9081905506134,1000
309,0.4,0.1,1.0,46.7,99.94,25.80676291906428,1000
310,0.4,0.2,0.1,-42.35,18.21,72.08841472744243,1000
311,0.4,0.2,0.2,-30.1,24.04,104.5571755763802,1000
312,0.4,0.2,0.3,0.8,52.42,118.95786057775058,1000
313,0.4,0.2,0.4,24.1,74.84,120.45606248618192,1000
314,0.4,0.2,0.5,34.14,84.56,117.88561499081803,1000
315,0.4,0.2,0.6,43.25,93.74,111.46233775686454,1000
316,0.4,0.2,0.7,45.35,97.77,92.22603104171927,1000
317,0.4,0.2,0.8,48.13,98.67,94.92578440195919,1000
318,0.4,0.2,0.9,33.32046332046332,99.07335907335907,1.2950238588585727,259
319,0.4,0.2,1.0,33.83838383838384,99.39393939393939,0.20263893260805885,99
320,0.4,0.3,0.1,-44.09,16.25,78.85967391480762,1000
321,0.4,0.3,0.2,-30.32,24.02,113.30331449836932,1000
322,0.4,0.3,0.3,-1.73,49.54,128.18096965982738,1000
323,0.4,0.3,0.4,24.65,75.08,132.35095579654143,1000
324,0.4,0.3,0.5,36.81,87.34,125.39352314235724,1000
325,0.4,0.3,0.6,44.84,94.96,126.64236432720618,1000
326,0.4,0.3,0.7,46.5,97.84,109.08643495619067,1000
327,0.4,0.3,0.8,30.76923076923077,97.56410256410257,0.36871233823393246,78
328,0.4,0.3,0.9,49.41,99.41,100.8519779133616,1000
329,0.4,0.3,1.0,33.37662337662338,99.22077922077922,0.15194487249142044,77
330,0.4,0.4,0.1,-41.67,18.7,85.28210326539237,1000
331,0.4,0.4,0.2,-32.18,22.35,120.72824826711242,1000
332,0.4,0.4,0.3,-1.83,49.52,136.16920337765876,1000
333,0.4,0.4,0.4,22.23,73.02,134.1998434456229,1000
334,0.4,0.4,0.5,38.06,88.39,136.47507708945577,1000
335,0.4,0.4,0.6,27.083333333333332,93.61111111111111,0.4565598669940346,72
336,0.4,0.4,0.7,45.87,95.93,130.7119269010341,1000
337,0.4,0.4,0.8,48.65,98.76,126.03324622698877,1000
338,0.4,0.4,0.9,46.02,99.48,83.51032552395188,1000
339,0.4,0.4,1.0,31.904761904761905,98.57142857142857,0.08349612100404279,42
340,0.4,0.5,0.1,-43.97,17.71,91.90195274744019,1000
341,0.4,0.5,0.2,-32.85,22.11,127.46102104590679,1000
342,0.4,0.5,0.3,-3.69,47.97,147.8686478515614,1000
343,0.4,0.5,0.4,22.19,72.95,146.4888752630215,1000
344,0.4,0.5,0.5,34.38,85.24,142.98335894610895,1000
345,0.4,0.5,0.6,40.39,91.78,135.76213882489895,1000
346,0.4,0.5,0.7,43.89,96.04,127.75469591501249,1000
347,0.4,0.5,0.8,47.99,98.48,124.57613671217372,1000
348,0.4,0.5,0.9,49.35,99.41,113.96671573363972,1000
349,0.4,0.5,1.0,30.0,96.66666666666667,0.03733189610006097,18
350,0.4,0.6,0.1,-45.15,17.34,96.53905186411973,1000
351,0.4,0.6,0.2,-35.57,19.73,138.82734687220517,1000
